contract_ref,contract_name,exhibit,setting,covered_entity,code_type,procedure_code,description,methodology_code,rate_basis,base_year,percentage,rvu,conversion_factor,units_note,allowed_2025,allowed_2026
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99202,"Office/outpatient visit, new, level 2",RBRVS,130% MPFS,2025,130,1.72,32.7442,,73.22,75.42
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99203,"Office/outpatient visit, new, level 3",RBRVS,130% MPFS,2025,130,2.6,32.7442,,110.68,114.00
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99204,"Office/outpatient visit, new, level 4",RBRVS,130% MPFS,2025,130,3.9,32.7442,,166.01,170.99
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99205,"Office/outpatient visit, new, level 5",RBRVS,130% MPFS,2025,130,5.1,32.7442,,217.09,223.60
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99212,"Office/outpatient visit, est, level 2",RBRVS,130% MPFS,2025,130,1.3,32.7442,,55.34,57.00
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99213,"Office/outpatient visit, est, level 3",RBRVS,130% MPFS,2025,130,2.54,32.7442,,108.12,111.36
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,"Robert Chen, MD",CPT,99213,"Office/outpatient visit, est, level 3",RBRVS,140% MPFS,2025,140,2.54,32.7442,,116.44,119.93
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99214,"Office/outpatient visit, est, level 4",RBRVS,130% MPFS,2025,130,3.58,32.7442,,152.39,156.96
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99215,"Office/outpatient visit, est, level 5",RBRVS,130% MPFS,2025,130,4.9,32.7442,,208.58,214.84
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93000,"Electrocardiogram, complete",RBRVS,130% MPFS,2025,130,0.57,32.7442,,24.26,24.99
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93010,"Electrocardiogram, interpretation only",RBRVS,130% MPFS,2025,130,0.24,32.7442,,10.22,10.53
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,29881,Knee arthroscopy w/ meniscectomy,RBRVS,130% MPFS,2025,130,12.22,32.7442,,520.17,535.78
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.5 Ancillary,Ancillary,Keystone Imaging Center,HCPCS,36415,Routine venipuncture,FEE_SCHEDULE,Fee schedule,2025,,,,,30.00,30.90
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.5 Ancillary,Ancillary,Keystone Imaging Center,CPT,80053,Comprehensive metabolic panel,FEE_SCHEDULE,Fee schedule,2025,,,,,58.00,59.74
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.3 Outpatient,Outpatient,Keystone Imaging Center,CPT,70450,CT head/brain w/o contrast,APC,250% OPPS,2025,,,,,412.00,424.36
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.3 Outpatient,Outpatient,Keystone Imaging Center,CPT,73030,"X-ray shoulder, complete",APC,250% OPPS,2025,,,,,96.00,98.88
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.5 Drugs,Ancillary,Keystone General (OP),HCPCS,J1885,"Ketorolac injection, per 15 mg",DRUG_ASP,ASP + 6%,2025,,,,per 15mg,3.18,3.28
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99217,"Evaluation & Management procedure, code 99217 (specimen)",RBRVS,130% MPFS,2025,130,3.47,32.7442,,147.71,152.14
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99220,"Evaluation & Management procedure, code 99220 (specimen)",RBRVS,130% MPFS,2025,130,4.34,32.7442,,184.74,190.28
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99223,"Evaluation & Management procedure, code 99223 (specimen)",RBRVS,130% MPFS,2025,130,2.08,32.7442,,88.54,91.20
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99226,"Evaluation & Management procedure, code 99226 (specimen)",RBRVS,130% MPFS,2025,130,5.52,32.7442,,234.97,242.02
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99229,"Evaluation & Management procedure, code 99229 (specimen)",RBRVS,130% MPFS,2025,130,2.45,32.7442,,104.29,107.42
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99232,"Evaluation & Management procedure, code 99232 (specimen)",RBRVS,130% MPFS,2025,130,4.53,32.7442,,192.83,198.61
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99235,"Evaluation & Management procedure, code 99235 (specimen)",RBRVS,130% MPFS,2025,130,3.67,32.7442,,156.22,160.91
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99238,"Evaluation & Management procedure, code 99238 (specimen)",RBRVS,130% MPFS,2025,130,2.15,32.7442,,91.52,94.27
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99241,"Evaluation & Management procedure, code 99241 (specimen)",RBRVS,130% MPFS,2025,130,3.69,32.7442,,157.07,161.78
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,99244,"Evaluation & Management procedure, code 99244 (specimen)",RBRVS,130% MPFS,2025,130,2.26,32.7442,,96.20,99.09
